3/18/2019 2:33:52 AM	The file contains frame by frame data of location for 2 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	StartTime	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	
1080	7239.163	3.277567	8.807872	-6.579344	3.326042	8.805939	-6.211482	
1081	7243.888	3.277584	8.807861	-6.579375	3.326098	8.805926	-6.211532	
1082	7251.154	3.277605	8.807841	-6.579437	3.326113	8.805923	-6.211547	
1083	7257.807	3.277623	8.807827	-6.579486	3.326141	8.805917	-6.211576	
1084	7264.416	3.277632	8.807811	-6.579531	3.326171	8.80591	-6.211604	
1085	7271.667	3.277649	8.807796	-6.579593	3.326224	8.805899	-6.211646	
1086	7278.758	3.277659	8.80778	-6.579648	3.326244	8.805895	-6.211659	
1087	7284.711	3.277668	8.807768	-6.579688	3.326281	8.805887	-6.21168	
1088	7291.257	3.27768	8.807764	-6.579707	3.326319	8.80588	-6.211698	
1089	7297.727	3.27769	8.807761	-6.579741	3.326356	8.805872	-6.211715	
1090	7304.352	3.277697	8.80776	-6.579776	3.326391	8.805865	-6.211728	
1091	7311.249	3.277703	8.807746	-6.579815	3.326427	8.805859	-6.211739	
1092	7317.252	3.277707	8.807735	-6.579843	3.32645	8.805854	-6.211744	
1093	7321.989	3.277712	8.807731	-6.579863	3.326468	8.80585	-6.211749	
1094	7326.268	3.277713	8.807732	-6.579885	3.326481	8.805848	-6.211751	
1095	7333.396	3.277722	8.807733	-6.579909	3.326485	8.805847	-6.211753	
1096	7339.867	3.277724	8.807731	-6.579933	3.326492	8.805846	-6.211755	
1097	7346.473	3.277725	8.80773	-6.579956	3.326496	8.805845	-6.211758	
1098	7352.848	3.277725	8.807722	-6.579988	3.326499	8.805844	-6.211761	
1099	7359.465	3.277723	8.807724	-6.580013	3.3265	8.805844	-6.211763	
1100	7365.429	3.27772	8.807719	-6.580037	3.326502	8.805844	-6.211764	
1101	7372.062	3.277717	8.807717	-6.580059	3.326505	8.805843	-6.211766	
1102	7378.505	3.277718	8.807714	-6.580078	3.326508	8.805843	-6.211766	
1103	7384.493	3.277713	8.807714	-6.580096	3.326509	8.805842	-6.211767	
1104	7391.605	3.277717	8.807709	-6.580112	3.326509	8.805842	-6.211766	
1105	7397.581	3.277725	8.80771	-6.580132	3.326505	8.805843	-6.211763	
1106	7403.494	3.277725	8.807714	-6.580148	3.326499	8.805844	-6.211757	
1107	7410.752	3.277724	8.807709	-6.580167	3.326488	8.805846	-6.21175	
1108	7416.828	3.277727	8.807709	-6.580184	3.326477	8.805849	-6.21174	
1109	7421.66	3.27773	8.807713	-6.580195	3.32646	8.805852	-6.211726	
1110	7427.224	3.27773	8.807714	-6.580208	3.326449	8.805854	-6.211716	
1111	7434.682	3.277723	8.807716	-6.580224	3.32644	8.805856	-6.21171	
1112	7441.124	3.277727	8.807716	-6.580235	3.326428	8.805858	-6.211699	
1113	7448.114	3.277732	8.807722	-6.580246	3.326416	8.80586	-6.211688	
1114	7454.688	3.277724	8.807721	-6.580261	3.326405	8.805862	-6.211677	
1115	7461.283	3.277723	8.807725	-6.580272	3.326393	8.805864	-6.211665	
1116	7467.623	3.277726	8.807725	-6.580281	3.326378	8.805867	-6.211657	
1117	7473.763	3.277723	8.807721	-6.580289	3.326365	8.80587	-6.211652	
1118	7480.255	3.277722	8.807723	-6.580299	3.326345	8.805874	-6.211649	
1119	7487.25	3.277728	8.807727	-6.580306	3.326327	8.805878	-6.211648	
1120	7493.852	3.277721	8.807727	-6.580311	3.326309	8.805882	-6.211649	
1121	7500.037	3.277713	8.807727	-6.580318	3.326295	8.805884	-6.21165	
1122	7507.408	3.277706	8.807726	-6.580329	3.326282	8.805887	-6.21165	
1123	7513.402	3.277696	8.807724	-6.580336	3.32627	8.805889	-6.211649	
1124	7519.334	3.277685	8.807726	-6.580345	3.326262	8.805891	-6.211647	
1125	7525.808	3.277683	8.807733	-6.580353	3.326254	8.805893	-6.211643	
1126	7532.431	3.277676	8.807734	-6.580356	3.326245	8.805895	-6.211637	
1127	7538.917	3.277663	8.807737	-6.580362	3.326238	8.805896	-6.211629	
1128	7544.976	3.277657	8.807737	-6.580364	3.326234	8.805897	-6.211619	
1129	7552.014	3.277649	8.807742	-6.580367	3.326232	8.805897	-6.211608	
1130	7557.849	3.277643	8.807738	-6.580367	3.326232	8.805897	-6.211598	
1131	7563.983	3.277642	8.807741	-6.580371	3.326235	8.805897	-6.211591	
1132	7571.196	3.277636	8.807745	-6.580376	3.326239	8.805896	-6.211586	
