4/14/2019 12:47:48 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	
668	8115.504	1	7.5	10	-6.2	7.034447	10.26457	-6.904198	7.182962	10.31784	-6.964539	
669	8126.849	1	7.5	10	-6.2	7.029968	10.26761	-6.920203	7.182835	10.31759	-6.963689	
670	8133.707	1	7.5	10	-6.2	7.029828	10.26745	-6.919929	7.183062	10.31754	-6.963519	
671	8144.958	1	7.5	10	-6.2	7.029877	10.26736	-6.919954	7.182902	10.31737	-6.963039	
672	8155.928	1	7.5	10	-6.2	7.029819	10.2672	-6.919942	7.182961	10.31714	-6.9625	
673	8166.769	1	7.5	10	-6.2	7.029724	10.26708	-6.919786	7.183258	10.31707	-6.962417	
674	8177.525	1	7.5	10	-6.2	7.029675	10.2671	-6.919734	7.183233	10.31683	-6.962036	
675	8189.731	1	7.5	10	-6.2	7.029681	10.267	-6.919736	7.183403	10.31665	-6.961665	
676	8200.41	1	7.5	10	-6.2	7.029699	10.26688	-6.919718	7.183795	10.31659	-6.961836	
677	8211.023	1	7.5	10	-6.2	7.029647	10.26691	-6.919623	7.183697	10.3164	-6.961595	
678	8222.582	1	7.5	10	-6.2	7.029674	10.26678	-6.91964	7.183787	10.31623	-6.96131	
679	8233.911	1	7.5	10	-6.2	7.029615	10.26667	-6.919544	7.184086	10.3162	-6.961466	
680	8244.666	1	7.5	10	-6.2	7.029468	10.26666	-6.919544	7.183886	10.31605	-6.961365	
681	8256.101	1	7.5	10	-6.2	7.029644	10.26671	-6.919789	7.183973	10.31604	-6.961189	
682	8267.593	1	7.5	10	-6.2	7.029595	10.26662	-6.919749	7.184197	10.31598	-6.961366	
683	8278.309	1	7.5	10	-6.2	7.029732	10.26652	-6.919683	7.184	10.31587	-6.961297	
684	8289.571	1	7.5	10	-6.2	7.029754	10.26633	-6.919755	7.184022	10.31579	-6.961222	
685	8302.025	1	7.5	10	-6.2	7.029732	10.26627	-6.919847	7.184155	10.31582	-6.961342	
686	8311.893	1	7.5	10	-6.2	7.029552	10.26623	-6.919889	7.183943	10.31567	-6.961356	
687	8323.6	1	7.5	10	-6.2	7.029355	10.26613	-6.919834	7.183933	10.31557	-6.961322	
688	8338.648	1	7.5	10	-6.2	7.029395	10.26605	-6.920068	7.184196	10.31543	-6.961782	
689	8345.958	1	7.5	10	-6.2	7.028971	10.26598	-6.920152	7.184013	10.3154	-6.961781	
690	8356.357	1	7.5	10	-6.2	7.028735	10.2658	-6.920152	7.183948	10.31535	-6.961761	
691	8367.33	1	7.5	10	-6.2	7.028646	10.26572	-6.92037	7.183988	10.31538	-6.961997	
692	8379.006	1	7.5	10	-6.2	7.028755	10.26564	-6.920304	7.183674	10.3153	-6.962004	
693	8390.749	1	7.5	10	-6.2	7.028477	10.26564	-6.920288	7.183525	10.31533	-6.961957	
694	8401.342	1	7.5	10	-6.2	7.028377	10.26557	-6.92047	7.183509	10.31539	-6.962039	
695	8411.974	1	7.5	10	-6.2	7.027728	10.26549	-6.920578	7.183138	10.31533	-6.961965	
696	8423.308	1	7.5	10	-6.2	7.027451	10.26569	-6.920588	7.182968	10.31531	-6.961741	
697	8434.718	1	7.5	10	-6.2	7.027214	10.26556	-6.920663	7.182955	10.31526	-6.961794	
698	8445.722	1	7.5	10	-6.2	7.026842	10.26545	-6.920676	7.1825	10.31524	-6.961578	
699	8457.444	1	7.5	10	-6.2	7.026409	10.2654	-6.920471	7.18222	10.31519	-6.961284	
700	8467.941	1	7.5	10	-6.2	7.026087	10.26522	-6.920337	7.182086	10.31519	-6.961254	
701	8479.329	1	7.5	10	-6.2	7.025506	10.26511	-6.920223	7.181463	10.31512	-6.960991	
702	8491.337	1	7.5	10	-6.2	7.025084	10.26467	-6.919994	7.181081	10.31504	-6.960629	
703	8503.292	1	7.5	10	-6.2	7.024603	10.26447	-6.91969	7.180785	10.31503	-6.960419	
704	8512.64	1	7.5	10	-6.2	7.024249	10.26431	-6.919366	7.180285	10.31505	-6.960045	
705	8524.19	1	7.5	10	-6.2	7.023759	10.26396	-6.919019	7.179916	10.31497	-6.95951	
706	8534.986	1	7.5	10	-6.2	7.023341	10.26371	-6.918699	7.179696	10.31495	-6.959123	
707	8546.424	1	7.5	10	-6.2	7.02298	10.26355	-6.91828	7.179128	10.315	-6.958455	
708	8557.431	1	7.5	10	-6.2	7.022605	10.26327	-6.91796	7.178739	10.31496	-6.95772	
709	8568.67	1	7.5	10	-6.2	7.022239	10.26305	-6.917676	7.178573	10.31502	-6.957341	
710	8580.709	1	7.5	10	-6.2	7.021394	10.26283	-6.917229	7.178093	10.31495	-6.956649	
711	8590.885	1	7.5	10	-6.2	7.020889	10.2625	-6.916768	7.17774	10.31493	-6.955962	
712	8602.174	1	7.5	10	-6.2	7.020438	10.26232	-6.916401	7.177592	10.31502	-6.955716	
713	8613.017	1	7.5	10	-6.2	7.020267	10.26207	-6.915935	7.177018	10.315	-6.955091	
714	8624.599	1	7.5	10	-6.2	7.019897	10.26174	-6.915585	7.176589	10.315	-6.954392	
715	8635.856	1	7.5	10	-6.2	7.019518	10.2615	-6.915272	7.176409	10.31501	-6.954106	
716	8646.983	1	7.5	10	-6.2	7.019379	10.26127	-6.914892	7.175795	10.31509	-6.953535	
717	8657.994	1	7.5	10	-6.2	7.019022	10.2611	-6.91453	7.175454	10.31514	-6.952891	
718	8669.279	1	7.5	10	-6.2	7.018906	10.26108	-6.914454	7.175345	10.31518	-6.95253	
719	8680.637	1	7.5	10	-6.2	7.019043	10.26102	-6.914037	7.175048	10.31523	-6.95194	
720	8691.812	1	7.5	10	-6.2	7.018824	10.26103	-6.913807	7.174826	10.31524	-6.951356	
721	8702.735	1	7.5	10	-6.2	7.018764	10.26086	-6.913688	7.174757	10.31514	-6.951005	
722	8713.771	1	7.5	10	-6.2	7.018171	10.26059	-6.913355	7.174338	10.31517	-6.950614	
723	8724.983	1	7.5	10	-6.2	7.017785	10.26055	-6.912971	7.174098	10.31511	-6.950148	
724	8736.44	1	7.5	10	-6.2	7.017698	10.26038	-6.912924	7.17406	10.31505	-6.950013	
725	8747.949	1	7.5	10	-6.2	7.014368	10.26008	-6.912294	7.173535	10.31503	-6.949574	
726	8758.328	1	7.5	10	-6.2	7.013775	10.25991	-6.911966	7.17333	10.315	-6.949065	
727	8769.756	1	7.5	10	-6.2	7.013134	10.25938	-6.911496	7.173305	10.31494	-6.948807	
728	8781.529	1	7.5	10	-6.2	7.012612	10.25911	-6.910192	7.172769	10.31486	-6.948196	
729	8793.724	1	7.5	10	-6.2	7.012074	10.25877	-6.909705	7.172685	10.31521	-6.947795	
730	8803.38	1	7.5	10	-6.2	7.011558	10.25817	-6.909181	7.172565	10.31492	-6.947199	
731	8814.809	1	7.5	10	-6.2	7.011066	10.2576	-6.907785	7.17188	10.3147	-6.946427	
732	8825.387	1	7.5	10	-6.2	7.0102	10.25736	-6.906773	7.171573	10.31443	-6.9455	
733	8840.309	1	7.5	10	-6.2	7.010483	10.25681	-6.906258	7.171255	10.31382	-6.943933	
734	8851.43	1	7.5	10	-6.2	7.011648	10.25647	-6.90513	7.170842	10.31335	-6.942737	
735	8862.762	1	7.5	10	-6.2	7.011695	10.25584	-6.904396	7.170985	10.31273	-6.941273	
736	8873.703	1	7.5	10	-6.2	7.012011	10.25515	-6.903708	7.171313	10.31191	-6.939914	
737	8885.039	1	7.5	10	-6.2	7.013637	10.25467	-6.902202	7.171506	10.311	-6.938707	
738	8896.702	1	7.5	10	-6.2	7.014198	10.2539	-6.901431	7.171865	10.31008	-6.93751	
739	8907.142	1	7.5	10	-6.2	7.015048	10.25304	-6.900328	7.172295	10.30893	-6.936186	
740	8918.258	1	7.5	10	-6.2	7.015483	10.25176	-6.899134	7.172997	10.30766	-6.935057	
741	8929.589	1	7.5	10	-6.2	7.016221	10.25018	-6.898103	7.174057	10.30616	-6.934245	
742	8940.698	1	7.5	10	-6.2	7.016752	10.2482	-6.896961	7.174829	10.3045	-6.933093	
743	8953.667	1	7.5	10	-6.2	7.016929	10.24569	-6.895817	7.17561	10.30277	-6.932088	
744	8963.337	1	7.5	10	-6.2	7.017377	10.24281	-6.895323	7.176451	10.30108	-6.931205	
745	8975.595	1	7.5	10	-6.2	7.017619	10.23981	-6.895007	7.177169	10.29847	-6.929516	
746	8985.754	1	7.5	10	-6.2	7.017359	10.23677	-6.895049	7.178016	10.29599	-6.927551	
747	8996.875	1	7.5	10	-6.2	7.017109	10.23409	-6.894873	7.179053	10.29308	-6.925347	
748	9007.74	1	7.5	10	-6.2	7.016783	10.23138	-6.894855	7.179626	10.29016	-6.922921	
749	9019.022	1	7.5	10	-6.2	7.016843	10.22859	-6.894767	7.180224	10.28652	-6.920518	
750	9030.035	1	7.5	10	-6.2	7.015308	10.22543	-6.893272	7.180518	10.28315	-6.917897	
751	9041.238	1	7.5	10	-6.2	7.014062	10.22212	-6.893203	7.18026	10.27962	-6.915441	
752	9052.719	1	7.5	10	-6.2	7.01203	10.21898	-6.893709	7.179044	10.27552	-6.913434	
753	9063.92	1	7.5	10	-6.2	7.01018	10.21657	-6.895126	7.178336	10.27179	-6.91144	
754	9074.766	1	7.5	10	-6.2	7.008014	10.21457	-6.896837	7.177117	10.26834	-6.909813	
755	9086.148	1	7.5	10	-6.2	7.006275	10.21232	-6.898542	7.175029	10.26459	-6.90869	
756	9096.813	1	7.5	10	-6.2	7.004899	10.20972	-6.900121	7.174074	10.26123	-6.908185	
757	9107.947	1	7.5	10	-6.2	7.003895	10.2074	-6.90133	7.172885	10.25823	-6.907857	
758	9119.737	1	7.5	10	-6.2	7.003271	10.20624	-6.902318	7.171652	10.25517	-6.907643	
759	9130.773	1	7.5	10	-6.2	7.002841	10.20603	-6.902773	7.171184	10.25248	-6.908898	
760	9141.829	1	7.5	10	-6.2	7.002223	10.20589	-6.90302	7.170485	10.25	-6.909577	
761	9152.781	1	7.5	10	-6.2	7.0019	10.20545	-6.903056	7.169862	10.24791	-6.9102	
762	9164.359	1	7.5	10	-6.2	7.002487	10.20465	-6.904313	7.169516	10.24563	-6.911755	
763	9175.487	1	7.5	10	-6.2	7.002225	10.20388	-6.904401	7.168845	10.24379	-6.912448	
764	9187.197	1	7.5	10	-6.2	7.002429	10.20319	-6.90461	7.168533	10.24222	-6.912993	
765	9198.402	1	7.5	10	-6.2	7.002579	10.2025	-6.905254	7.168364	10.2408	-6.913797	
766	9209.477	1	7.5	10	-6.2	7.00241	10.20203	-6.905516	7.168206	10.23939	-6.913854	
767	9221.04	1	7.5	10	-6.2	7.00279	10.20159	-6.905636	7.167846	10.23789	-6.913778	
768	9232.117	1	7.5	10	-6.2	7.002906	10.20108	-6.906149	7.167698	10.23681	-6.912967	
769	9244.371	1	7.5	10	-6.2	7.00256	10.20066	-6.906279	7.167859	10.23542	-6.911888	
770	9253.757	1	7.5	10	-6.2	7.002978	10.2001	-6.906088	7.167474	10.23417	-6.910937	
771	9264.448	1	7.5	10	-6.2	7.002702	10.19965	-6.906209	7.167287	10.23299	-6.909099	
772	9276.487	1	7.5	10	-6.2	7.002227	10.19944	-6.906317	7.167727	10.23146	-6.907971	
