4/14/2019 1:29	The file contains frame by frame data of location for 3 tracked objects 										
The coordinate system is in Unity world coordinates.											
-------------------------------------------------											
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ
274	3667.02	0	0	0	0	7.073242	10.17801	-6.790571	7.535669	10.09065	-6.863919
275	3673.462	0	0	0	0	7.072782	10.17788	-6.79065	7.53162	10.09357	-6.860999
276	3681.775	0	0	0	0	7.072382	10.17775	-6.790672	7.529448	10.09514	-6.859595
277	3693.068	0	0	0	0	7.071964	10.17776	-6.790707	7.526144	10.09734	-6.857992
278	3704.259	0	0	0	0	7.071617	10.17773	-6.790735	7.523251	10.09946	-6.855946
279	3715.26	0	0	0	0	7.071143	10.1778	-6.790579	7.520082	10.10167	-6.854033
280	3728.316	0	0	0	0	7.07082	10.17782	-6.790495	7.516571	10.10381	-6.852442
281	3737.577	0	0	0	0	7.07058	10.17783	-6.790462	7.514237	10.1056	-6.851032
282	3751.533	0	0	0	0	7.070299	10.17781	-6.7904	7.511623	10.10737	-6.849032
283	3760.999	0	0	0	0	7.070087	10.17786	-6.790449	7.508152	10.1091	-6.847466
284	3772.239	0	0	0	0	7.069963	10.17782	-6.790414	7.505569	10.11061	-6.845421
285	3783.256	0	0	0	0	7.069879	10.17774	-6.790333	7.502489	10.11184	-6.84379
286	3793.593	0	0	0	0	7.069784	10.17765	-6.790307	7.50035	10.11309	-6.842266
287	3805.629	0	0	0	0	7.069859	10.17756	-6.790267	7.497799	10.11434	-6.840072
288	3815.951	0	0	0	0	7.069903	10.17746	-6.790071	7.495032	10.11516	-6.838658
289	3829.273	0	0	0	0	7.070065	10.17733	-6.78988	7.49223	10.11643	-6.836756
290	3840.804	0	0	0	0	7.070184	10.17716	-6.7896	7.489732	10.11749	-6.834636
291	3851.781	0	0	0	0	7.070402	10.17697	-6.789372	7.487346	10.11849	-6.833252
292	3863.033	0	0	0	0	7.070613	10.17679	-6.789196	7.485243	10.11973	-6.832031
293	3874.131	0	0	0	0	7.070775	10.17656	-6.789004	7.483037	10.12082	-6.830776
294	3886.136	0	0	0	0	7.071006	10.17629	-6.788747	7.480251	10.12198	-6.829477
