4/14/2019 1:47	The file contains frame by frame data of location for 3 tracked objects 													
The coordinate system is in Unity world coordinates.														
-------------------------------------------------														
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ
3428	38870.98	0	0	0	0	7.066749	10.20177	-6.876761	7.908902	9.825017	-6.937725	10.57845	7.409825	4.75
3429	38879.38	0	0	0	0	7.066849	10.20199	-6.877032	7.908903	9.825031	-6.93771	10.5755	7.407327	4.75
3430	38890.62	0	0	0	0	7.066908	10.20217	-6.877263	7.909006	9.825001	-6.937749	10.57342	7.405394	4.749999
3431	38902.06	0	0	0	0	7.067006	10.2024	-6.877515	7.90901	9.824984	-6.937762	10.57062	7.402566	4.75
3432	38914.15	0	0	0	0	7.067052	10.20253	-6.877712	7.909019	9.825042	-6.937745	10.5689	7.401287	4.75
3433	38924.14	0	0	0	0	7.067129	10.20263	-6.877872	7.908988	9.825121	-6.937659	-2.166648	3.559202	4.75
3434	38935.37	0	0	0	0	7.067269	10.20271	-6.87807	7.908952	9.825061	-6.937628	-2.16624	3.559897	4.75
3435	38948.87	0	0	0	0	7.067409	10.20276	-6.878299	7.908943	9.825068	-6.937663	-2.165313	3.561623	4.75
3436	38959.25	0	0	0	0	7.067346	10.20282	-6.878491	7.908888	9.825095	-6.937706	-2.160651	3.562687	4.75
3437	38970.19	0	0	0	0	7.067469	10.20288	-6.878695	7.908816	9.825088	-6.937689	6.796247	4.022799	4.749999
3438	38980.16	0	0	0	0	7.067484	10.20288	-6.878736	7.90881	9.825143	-6.937684	6.795992	4.023115	4.75
3439	38991.18	0	0	0	0	7.067538	10.20284	-6.878967	7.90885	9.825123	-6.937714	6.795163	4.026102	4.75
3440	39002.29	0	0	0	0	7.067719	10.20283	-6.879201	7.908831	9.825137	-6.937716	6.792134	4.028344	4.749999
3441	39013.69	0	0	0	0	7.067798	10.20275	-6.879241	7.908835	9.82512	-6.937683	6.790774	4.030087	4.750001
3442	39024.49	0	0	0	0	7.067923	10.20269	-6.879404	7.908962	9.825069	-6.937705	6.788692	4.03271	4.75
3443	39035.88	0	0	0	0	7.0681	10.20271	-6.879519	7.908923	9.824999	-6.937696	6.785668	4.033299	4.75
3444	39046.89	0	0	0	0	7.068219	10.20267	-6.879563	7.908924	9.825017	-6.937698	6.783635	4.034423	4.75
3445	39058.33	0	0	0	0	7.068419	10.20258	-6.879637	7.908908	9.825021	-6.937695	6.780208	4.036705	4.75
3446	39069.38	0	0	0	0	7.068622	10.20244	-6.879742	7.908816	9.824913	-6.937655	6.776753	4.04002	4.75
3447	39080.46	0	0	0	0	7.068779	10.2023	-6.879757	7.908811	9.824871	-6.937632	6.774059	4.042663	4.75
3448	39091.54	0	0	0	0	7.069079	10.20215	-6.879854	7.908842	9.824878	-6.937613	6.768908	4.046022	4.75
3449	39102.75	0	0	0	0	7.06938	10.20214	-6.880031	7.908905	9.824966	-6.937661	6.763793	4.047913	4.750001
3450	39114.32	0	0	0	0	7.069547	10.20201	-6.880054	7.908915	9.824984	-6.937631	6.760931	4.050406	4.75
3451	39125.3	0	0	0	0	7.069729	10.20186	-6.880191	7.908922	9.824976	-6.937642	7.007539	9.996321	-6.218155
3452	39146.28	0	0	0	0	7.069965	10.2017	-6.880333	7.908882	9.824924	-6.937697	7.007545	9.996314	-6.218152
3453	39151.03	0	0	0	0	7.070224	10.20158	-6.880544	7.908828	9.824936	-6.937692	7.007551	9.996307	-6.218148
3454	39155.19	0	0	0	0	7.070449	10.2015	-6.880724	7.908823	9.82493	-6.937693	7.007556	9.996303	-6.218144
