4/21/2019 10:31:48 PM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ	
28350	319050.9	-1	6.5	10	-6.2	6.890539	10.14343	-6.532496	7.000126	9.988685	-6.39181	4.759154	5.859564	4.75	
28351	319065.5	-1	6.5	10	-6.2	6.890253	10.14321	-6.532855	6.998168	9.9947	-6.382174	4.764731	5.865275	4.75	
28352	319073.8	-1	6.5	10	-6.2	6.889947	10.14305	-6.533292	6.997276	9.997258	-6.376871	36.76964	14.54217	4.750001	
28353	319083.2	-1	6.5	10	-6.2	6.889733	10.14294	-6.533763	6.996669	9.99931	-6.370937	36.72226	14.53905	4.75	
28354	319093.5	-1	6.5	10	-6.2	6.889446	10.14287	-6.534222	6.995513	10.0023	-6.362799	36.67992	14.5341	4.75	
28355	319105.1	-1	6.5	10	-6.2	6.889191	10.14285	-6.534675	6.994579	10.00451	-6.353796	36.63703	14.52702	4.75	
28356	319115.7	-1	6.5	10	-6.2	6.88893	10.14294	-6.535173	6.994544	10.00633	-6.344554	36.58902	14.5141	4.75	
28357	319127.3	-1	6.5	10	-6.2	6.888684	10.14304	-6.535729	6.994287	10.00822	-6.334509	36.5337	14.49989	4.75	
28358	319137.6	-1	6.5	10	-6.2	6.888387	10.14319	-6.536177	6.994352	10.00978	-6.324316	36.49386	14.48518	4.75	
28359	319149.2	25	7.5	10	-6.2	6.888171	10.14325	-6.536568	6.995701	10.01103	-6.31342	36.45714	14.47566	4.75	
28360	319160.6	25	7.5	10	-6.2	6.887912	10.14348	-6.536872	6.996697	10.0119	-6.302412	36.43283	14.46014	4.75	
28361	319176.3	25	7.5	10	-6.2	6.887664	10.14369	-6.537165	6.997664	10.01238	-6.291162	36.40935	14.44548	4.75	
28362	319186	25	7.5	10	-6.2	6.887398	10.14388	-6.53755	6.999437	10.01291	-6.276822	36.37585	14.43022	4.75	
28363	319193.4	25	7.5	10	-6.2	6.887115	10.14402	-6.537888	7.000455	10.01251	-6.268381	36.34892	14.41823	4.75	
28364	319205	25	7.5	10	-6.2	6.886768	10.14413	-6.538392	7.002859	10.01146	-6.256053	36.30531	14.40483	4.75	
28365	319215.6	25	7.5	10	-6.2	6.886441	10.14428	-6.539007	7.006007	10.00988	-6.244237	36.24809	14.38788	4.75	
28366	319227.9	25	7.5	10	-6.2	6.886097	10.14436	-6.539542	7.009429	10.00802	-6.232644	36.20119	14.37537	4.75	
28367	319238.8	25	7.5	10	-6.2	6.88576	10.14448	-6.540107	7.012543	10.00559	-6.222626	36.15071	14.3603	4.75	
28368	319253	25	7.5	10	-6.2	6.885494	10.14454	-6.540642	7.014611	10.0034	-6.213209	36.10081	14.3487	4.75	
28369	319264	25	7.5	10	-6.2	6.885224	10.14476	-6.541061	7.016796	10.0013	-6.203404	40.87286	15.31687	4.75	
28370	319272.2	25	7.5	10	-6.2	6.884983	10.14504	-6.541357	7.018001	10.00002	-6.197457	40.83943	15.29517	4.75	
28371	319291.9	25	7.5	10	-6.2	6.884815	10.14538	-6.541533	7.020766	9.998525	-6.189988	42.4553	15.62395	4.75	
28372	319299.8	25	7.5	10	-6.2	6.884665	10.14578	-6.541378	7.02323	9.998095	-6.187641	42.4895	15.60643	4.75	
28373	319307.4	25	7.5	10	-6.2	6.884578	10.14621	-6.541116	7.024788	9.997788	-6.186658	42.53881	15.58997	4.75	
28374	319316.7	25	7.5	10	-6.2	6.884439	10.14663	-6.540791	7.027037	9.997612	-6.185814	42.60187	15.57593	4.75	
28375	319327.9	25	7.5	10	-6.2	6.884505	10.14705	-6.540236	7.029605	9.997414	-6.186259	42.69342	15.56775	4.75	
28376	319340.4	25	7.5	10	-6.2	6.884602	10.14747	-6.539596	7.032108	9.99702	-6.188054	42.79845	15.56168	4.75	
28377	319350.3	25	7.5	10	-6.2	6.884887	10.14777	-6.538828	7.034139	9.997084	-6.190121	42.79845	15.56168	4.75	
28378	319361.6	25	7.5	10	-6.2	6.885222	10.14805	-6.538019	7.03615	9.997348	-6.193702	42.79845	15.56168	4.75	
28379	319372.7	25	7.5	10	-6.2	6.885705	10.14819	-6.53723	7.038135	9.997253	-6.198447	42.79845	15.56168	4.75	
28380	319384.1	25	7.5	10	-6.2	6.886252	10.14836	-6.536565	7.040205	9.997737	-6.203973	42.79845	15.56168	4.75	
28381	319395.2	25	7.5	10	-6.2	6.886894	10.1483	-6.535836	7.042078	9.997632	-6.209759	42.79845	15.56168	4.75	
28382	319406.2	25	7.5	10	-6.2	6.887465	10.14829	-6.535207	7.044121	9.99714	-6.216156	42.79845	15.56168	4.75	
28383	319416.4	25	7.5	10	-6.2	6.888075	10.14819	-6.534602	7.046269	9.99663	-6.22309	42.79845	15.56168	4.75	
28384	319429	25	7.5	10	-6.2	6.888731	10.14811	-6.533907	7.048652	9.996222	-6.230152	42.79845	15.56168	4.75	
28385	319439.8	25	7.5	10	-6.2	6.889431	10.14798	-6.533216	7.051815	9.995456	-6.238047	42.79845	15.56168	4.75	
28386	319451.3	25	7.5	10	-6.2	6.890077	10.14785	-6.532534	7.055013	9.995187	-6.245923	42.79845	15.56168	4.75	
28387	319461.6	25	7.5	10	-6.2	6.890826	10.14777	-6.531981	7.059685	9.994935	-6.254654	42.79845	15.56168	4.75	
28388	319473.2	25	7.5	10	-6.2	6.891634	10.14786	-6.531363	7.064703	9.99465	-6.263234	42.79845	15.56168	4.75	
28389	319483.4	25	7.5	10	-6.2	6.89252	10.14776	-6.530794	7.070181	9.994399	-6.271941	42.79845	15.56168	4.75	
28390	319496.7	25	7.5	10	-6.2	6.89342	10.14779	-6.530341	7.076178	9.994282	-6.280684	42.79845	15.56168	4.75	
28391	319506.2	25	7.5	10	-6.2	6.894351	10.14793	-6.529896	7.082574	9.994311	-6.289146	42.79845	15.56168	4.75	
28392	319518.1	25	7.5	10	-6.2	6.895247	10.14797	-6.529449	7.088688	9.994863	-6.29721	42.79845	15.56168	4.75	
28393	319529	25	7.5	10	-6.2	6.896149	10.14806	-6.528925	7.095219	9.996085	-6.304973	42.79845	15.56168	4.75	
28394	319540.3	25	7.5	10	-6.2	6.897042	10.14814	-6.528625	7.102047	9.997704	-6.312387	42.79845	15.56168	4.75	
28395	319551	25	7.5	10	-6.2	6.897781	10.14822	-6.528375	7.109481	9.999506	-6.319895	42.79845	15.56168	4.75	
28396	319563	25	7.5	10	-6.2	6.898625	10.14826	-6.528152	7.117757	10.00171	-6.327468	42.79845	15.56168	4.75	
28397	319573.7	25	7.5	10	-6.2	6.89938	10.14834	-6.528069	7.125972	10.00419	-6.334305	42.79845	15.56168	4.75	
28398	319585.4	25	7.5	10	-6.2	6.900149	10.14835	-6.528107	7.135159	10.00714	-6.340656	42.79845	15.56168	4.75	
28399	319595.9	25	7.5	10	-6.2	6.900871	10.1484	-6.528421	7.144856	10.01028	-6.346929	42.79845	15.56168	4.75	
28400	319608.1	25	7.5	10	-6.2	6.901519	10.14857	-6.528678	7.154498	10.01432	-6.352211	42.79845	15.56168	4.75	
28401	319618.7	25	7.5	10	-6.2	6.902089	10.14864	-6.529031	7.164822	10.01788	-6.357187	42.79845	15.56168	4.75	
28402	319630.5	25	7.5	10	-6.2	6.902657	10.14875	-6.529551	7.175261	10.0216	-6.362284	42.79845	15.56168	4.75	
28403	319641.1	25	7.5	10	-6.2	6.903155	10.14893	-6.530143	7.186319	10.02562	-6.366433	42.79845	15.56168	4.75	
28404	319652.6	25	7.5	10	-6.2	6.903447	10.14904	-6.530833	7.197875	10.02942	-6.36987	42.79845	15.56168	4.75	
28405	319663.7	25	7.5	10	-6.2	6.903819	10.14926	-6.53161	7.209901	10.03333	-6.372808	42.79845	15.56168	4.75	
28406	319674.6	25	7.5	10	-6.2	6.904063	10.14951	-6.532427	7.221581	10.03701	-6.374866	42.79845	15.56168	4.75	
