4/30/2019 10:28:16 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ	
3165	35817.18	1	7.7	10	-6.5	7.344243	10.16199	-6.310062	7.45997	9.870874	-6.140138	0.03613567	0	-0.03104734	
3166	35827.43	1	7.7	10	-6.5	7.344012	10.16187	-6.310093	7.459578	9.870486	-6.139988	0.0361352	0	-0.03104806	
3167	35838.12	1	7.7	10	-6.5	7.343499	10.16161	-6.310121	7.459345	9.870325	-6.13992	0.03613353	0	-0.03104842	
3168	35848.94	1	7.7	10	-6.5	7.343239	10.16157	-6.310073	7.459078	9.870219	-6.139789	0.03613257	0	-0.03104889	
3169	35861.29	1	7.7	10	-6.5	7.34305	10.16154	-6.310101	7.458925	9.870175	-6.139832	0.03613162	0	-0.03104925	
3170	35871.73	1	7.7	10	-6.5	7.342896	10.16156	-6.310169	7.45879	9.870203	-6.139961	0.03613067	0	-0.03104901	
3171	35882.97	1	7.7	10	-6.5	7.342756	10.16152	-6.310261	7.4587	9.870184	-6.140068	0.03613067	0	-0.03105009	
3172	35894.3	1	7.7	10	-6.5	7.342613	10.16148	-6.310306	7.458607	9.870243	-6.140203	0.03613019	0	-0.03104985	
3173	35907.38	1	7.7	10	-6.5	7.342492	10.16144	-6.310371	7.45843	9.870293	-6.140307	0.03612995	0	-0.03105056	
3174	35916.97	1	7.7	10	-6.5	7.342356	10.1614	-6.310417	7.45817	9.870416	-6.14038	0.03612995	0	-0.03105152	
3175	35927.65	1	7.7	10	-6.5	7.342266	10.16132	-6.310471	7.458082	9.870475	-6.140471	0.036129	0	-0.03105152	
3176	35938.88	1	7.7	10	-6.5	7.342169	10.16121	-6.31053	7.457904	9.870521	-6.14057	0.03612852	0	-0.03105199	
3177	35949.79	1	7.7	10	-6.5	7.34212	10.16118	-6.310613	7.457739	9.870597	-6.140631	0.03612947	0	-0.03105319	
3178	35960.32	1	7.7	10	-6.5	7.342074	10.16112	-6.310689	7.4576	9.870635	-6.140768	0.03612852	0	-0.03105307	
3179	35972.37	1	7.7	10	-6.5	7.342078	10.16117	-6.310832	7.457453	9.870689	-6.140929	0.03612852	0	-0.03105426	
3180	35983.21	1	7.7	10	-6.5	7.342122	10.16108	-6.310998	7.457427	9.870618	-6.141093	0.036129	0	-0.03105474	
3181	35995.17	1	7.7	10	-6.5	7.342041	10.16099	-6.311048	7.457287	9.870522	-6.141162	0.03612852	0	-0.03105533	
3182	36005.6	1	7.7	10	-6.5	7.342057	10.16098	-6.311137	7.457138	9.870432	-6.141198	0.03612852	0	-0.03105569	
3183	36016.52	1	7.7	10	-6.5	7.342086	10.1609	-6.311161	7.456961	9.870365	-6.141124	0.03612947	0	-0.03105605	
3184	36028.07	1	7.7	10	-6.5	7.34212	10.16077	-6.31115	7.45685	9.870231	-6.141154	0.03612995	0	-0.03105712	
3185	36039.32	1	7.7	10	-6.5	7.342167	10.16062	-6.311131	7.456617	9.869925	-6.140988	0.03613091	0	-0.03105736	
3186	36050.48	1	7.7	10	-6.5	7.342196	10.16047	-6.311166	7.456409	9.869709	-6.14093	0.03613186	0	-0.03105748	
3187	36061.27	1	7.7	10	-6.5	7.342255	10.16028	-6.311124	7.456239	9.869473	-6.140933	0.03613186	0	-0.0310576	
3188	36072.57	1	7.7	10	-6.5	7.34236	10.1602	-6.311201	7.456088	9.869232	-6.140917	0.03613257	0	-0.03105855	
3189	36083.85	1	7.7	10	-6.5	7.342462	10.16006	-6.31117	7.455844	9.869002	-6.140878	0.036134	0	-0.03105915	
3190	36095.45	1	7.7	10	-6.5	7.342646	10.15996	-6.311079	7.455785	9.868762	-6.140825	0.03613544	0	-0.03105891	
3191	36105.71	1	7.7	10	-6.5	7.342824	10.15992	-6.311069	7.455661	9.868567	-6.140815	0.03613663	0	-0.03105831	
3192	36137.15	1	7.7	10	-6.5	7.343027	10.15981	-6.311007	7.45534	9.86816	-6.140807	0.0361371	0	-0.03105855	
3193	36163.47	1	7.7	10	-6.5	7.344269	10.15958	-6.310477	7.455114	9.86793	-6.140804	0.03614521	0	-0.03105688	
3194	36172.97	1	7.7	10	-6.5	7.345024	10.15945	-6.31008	7.455048	9.867826	-6.140794	0.03614879	0	-0.03105569	
3195	36185.84	1	7.7	10	-6.5	7.34556	10.15939	-6.309808	7.454958	9.867603	-6.1408	0.03615165	0	-0.03105414	
3196	36206.11	1	7.7	10	-6.5	7.346573	10.15932	-6.309401	7.454854	9.867386	-6.140802	0.03615618	0	-0.03105235	
3197	36217.56	1	7.7	10	-6.5	7.348025	10.15929	-6.308747	7.454419	9.866942	-6.140596	0.03616452	0	-0.03104901	
3198	36229.1	1	7.7	10	-6.5	7.349909	10.1592	-6.30787	7.454235	9.866527	-6.140404	0.03617406	0	-0.0310452	
3199	36240.5	1	7.7	10	-6.5	7.351518	10.15928	-6.307032	7.454056	9.866121	-6.140195	0.03618145	0	-0.03104079	
3200	36251.29	1	7.7	10	-6.5	7.353452	10.15941	-6.306146	7.453817	9.865749	-6.139997	0.03619051	0	-0.03103614	
3201	36265.14	1	7.7	10	-6.5	7.355657	10.15959	-6.305209	7.453485	9.86502	-6.139664	0.03620028	0	-0.03103089	
3202	36273.47	1	7.7	10	-6.5	7.358066	10.15969	-6.304299	7.453282	9.864611	-6.139645	0.03621197	0	-0.03102601	
3203	36288.03	1	7.7	10	-6.5	7.360761	10.15973	-6.303376	7.452984	9.863964	-6.139446	0.03622508	0	-0.03102112	
3204	36308.05	1	7.7	10	-6.5	7.363612	10.15971	-6.302506	7.452703	9.86327	-6.13929	0.03623939	0	-0.03101707	
3205	36318.87	1	7.7	10	-6.5	7.369896	10.1598	-6.300974	7.45236	9.863132	-6.139091	0.03626943	0	-0.03100944	
3206	36331.66	1	7.7	10	-6.5	7.373383	10.15986	-6.300191	7.452174	9.862937	-6.139157	0.03628659	0	-0.03100491	
3207	36341.05	1	7.7	10	-6.5	7.377029	10.16005	-6.299588	7.451978	9.862889	-6.139215	0.03630447	0	-0.03100157	
3208	36357.07	1	7.7	10	-6.5	7.380567	10.16039	-6.298829	7.451578	9.86286	-6.139598	0.03632116	0	-0.03099692	
3209	36366.13	1	7.7	10	-6.5	7.384574	10.16056	-6.298482	7.451264	9.862925	-6.139958	0.03633952	0	-0.03099453	
3210	36374.79	1	7.7	10	-6.5	7.388357	10.16043	-6.298103	7.450914	9.86298	-6.140212	0.03635931	0	-0.03099394	
3211	36389.59	1	7.7	10	-6.5	7.392062	10.16058	-6.297678	7.450194	9.863154	-6.140677	0.03637648	0	-0.03099096	
3212	36399.47	1	7.7	10	-6.5	7.396089	10.1605	-6.297627	7.449787	9.863284	-6.141053	0.03639674	0	-0.03099048	
3213	36407.71	1	7.7	10	-6.5	7.400092	10.16045	-6.297863	7.449477	9.863377	-6.141276	0.03641582	0	-0.03099203	
3214	36419.07	1	7.7	10	-6.5	7.403913	10.16048	-6.297734	7.448994	9.863535	-6.141596	0.0364356	0	-0.03099144	
3215	36430.43	1	7.7	10	-6.5	7.407885	10.16032	-6.297963	7.448528	9.863533	-6.141961	0.03645492	0	-0.03099298	
3216	36441.91	1	7.7	10	-6.5	7.411898	10.16016	-6.29848	7.4481	9.863605	-6.142336	0.03647542	0	-0.03099585	
3217	36452.45	1	7.7	10	-6.5	7.415737	10.16002	-6.29879	7.447717	9.863578	-6.142781	0.03649521	0	-0.03099835	
3218	36463.53	1	7.7	10	-6.5	7.41975	10.15975	-6.299472	7.447355	9.863598	-6.14316	0.03651547	0	-0.03100204	
3219	36474.68	1	7.7	10	-6.5	7.423749	10.15943	-6.300161	7.446878	9.863544	-6.143323	0.03653598	0	-0.03100669	
3220	36485.94	1	7.7	10	-6.5	7.42757	10.15929	-6.300733	7.446349	9.863662	-6.143644	0.03655577	0	-0.03100991	
3221	36497.54	1	7.7	10	-6.5	7.431367	10.15891	-6.301648	7.445871	9.863779	-6.143992	0.03657579	0	-0.03101552	
3222	36508.52	1	7.7	10	-6.5	7.435258	10.15858	-6.302773	7.445442	9.863741	-6.144367	0.03659654	0	-0.03102195	
3223	36519.63	1	7.7	10	-6.5	7.438905	10.15831	-6.303645	7.445085	9.863899	-6.144707	0.03661513	0	-0.03102708	
3224	36530.98	1	7.7	10	-6.5	7.442544	10.1579	-6.304805	7.444643	9.863815	-6.144833	0.03663421	0	-0.03103435	
3225	36541.94	1	7.7	10	-6.5	7.445859	10.15731	-6.305658	7.444304	9.863966	-6.145033	0.03665328	0	-0.03104007	
3226	36553.3	1	7.7	10	-6.5	7.448975	10.15689	-6.306662	7.444034	9.864048	-6.145426	0.03666973	0	-0.03104639	
3227	36564.09	1	7.7	10	-6.5	7.451852	10.15635	-6.307768	7.443724	9.864153	-6.145738	0.03668594	0	-0.03105378	
