5/8/2019 5:54:21 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
TaskNumber	StartTime	UIComponentInteractionTime	UIComponentExitTime	HornTime	
3	6.721534	7.082305	7.226495	7.841606	
2	11.98118	12.66273	0	13.37146	
5	16.7253	17.46214	0	18.3029	
1	21.71216	22.82004	22.96426	23.40389	
2	26.83646	27.52799	0	28.37075	
3	32.21638	32.92908	0	33.41541	
5	37.40539	38.14224	0	39.36581	
5	42.41662	42.83024	42.99492	43.35838	
4	46.80175	47.24767	47.39309	48.00835	
4	51.6004	52.28198	52.41558	53.24837	
2	56.65651	57.40483	57.56113	58.17388	
4	62.15807	62.82856	0	63.45754	
2	66.82326	67.26733	67.43465	68.07486	
3	71.91264	72.49221	0	73.19241	
2	76.91139	78.54601	0	79.2979	
3	81.93427	82.6824	0	83.22244	
2	87.10081	87.69432	0	88.35657	
5	91.98969	92.55954	0	93.5107	
1	96.84126	97.21064	97.28901	97.83582	
1	101.8097	102.4359	0	103.4774	
2	107.5574	108.5883	0	109.5406	
1	112.1202	112.7464	0	113.4317	
4	116.6296	117.366	0	118.5218	
2	122.054	122.5573	122.7032	123.387	
4	126.8627	127.4883	0	128.3988	
3	132.0315	132.4333	132.5002	133.3868	
4	136.7754	137.6002	0	138.4759	
5	141.8197	142.1755	142.355	142.9575	
3	147.5107	147.9361	148.0365	148.6102	
3	152.0187	152.6358	0	153.497	
5	156.5598	157.329	0	158.4529	
1	162.1313	162.5877	162.7194	163.3634	
1	166.7856	167.5213	0	168.3417	
2	171.6855	172.3542	0	173.4533	
5	177.0311	177.8568	0	178.5744	
3	181.7949	182.1848	182.2969	182.8336	
3	186.6606	187.9003	0	188.5753	
4	191.9295	192.8235	0	193.5751	
